speed,lam,source_scenario,route_scenario,n_slots,gfence_m,h_cruise_s,h_merge_s,avg_done,avg_wait_s,avg_spill,sat_pct
4.0,50,balanced,default,5,10.67,2.67,3.33,202.9,19.93617232457893,0,101.44999999999999
4.0,150,balanced,default,5,10.67,2.67,3.33,606.1,20.299498842664153,0,101.01666666666667
4.0,250,balanced,default,5,10.67,2.67,3.33,1005,20.23314677123227,0,100.49999999999999
4.0,350,balanced,default,5,10.67,2.67,3.33,1420.7,21.089143003442018,0,101.47857142857144
4.0,450,balanced,default,5,10.67,2.67,3.33,1806.8,21.567795001074817,0.1,100.37777777777777
4.0,550,balanced,default,5,10.67,2.67,3.33,2202.7,22.157406956819727,0.4,100.12272727272726
4.0,650,balanced,default,5,10.67,2.67,3.33,2619.6,22.58303799475393,1.5,100.75384615384615
4.0,750,balanced,default,5,10.67,2.67,3.33,3016.2,23.53417198461174,1.9,100.53999999999999
4.0,850,balanced,default,5,10.67,2.67,3.33,3376.9,24.207749368505734,3.1,99.32058823529411
4.0,950,balanced,default,5,10.67,2.67,3.33,3782.9,25.499953768922442,7.1,99.55000000000001
4.0,1050,balanced,default,5,10.67,2.67,3.33,4213.9,27.188054844778065,10.4,100.33095238095238
4.0,1150,balanced,default,5,10.67,2.67,3.33,4633.3,30.14887444492655,16.2,100.72391304347828
4.0,1250,balanced,default,5,10.67,2.67,3.33,4761,33.5015643843439,44.9,95.22
4.0,1350,balanced,default,5,10.67,2.67,3.33,4204.1,40.1427794974765,77.8,77.85370370370372
4.0,1450,balanced,default,5,10.67,2.67,3.33,1661.3,42.684221136206126,90.3,28.643103448275863
4.0,1550,balanced,default,5,10.67,2.67,3.33,490.5,45.66953054862715,66.3,7.911290322580646
4.0,1650,balanced,default,5,10.67,2.67,3.33,315,42.552116274705995,66.8,4.772727272727273
4.0,1750,balanced,default,5,10.67,2.67,3.33,218.3,40.79467917441483,46.7,3.1185714285714288
4.0,1850,balanced,default,5,10.67,2.67,3.33,144.6,36.289099484329085,34.3,1.954054054054054
4.0,1950,balanced,default,5,10.67,2.67,3.33,107,38.54948030955608,36.3,1.3717948717948718
6.0,50,balanced,default,4,15.0,2.5,3.5,196.6,16.423461710818216,0,98.3
6.0,150,balanced,default,4,15.0,2.5,3.5,614.5,16.676478744764456,0,102.41666666666667
6.0,250,balanced,default,4,15.0,2.5,3.5,1012.1,16.7383309208665,0,101.21
6.0,350,balanced,default,4,15.0,2.5,3.5,1401.8,17.007460656632176,0,100.12857142857143
6.0,450,balanced,default,4,15.0,2.5,3.5,1815.5,17.349311524080804,0,100.86111111111111
6.0,550,balanced,default,4,15.0,2.5,3.5,2190.8,17.655791090684026,0,99.58181818181819
6.0,650,balanced,default,4,15.0,2.5,3.5,2579.1,17.867208985947894,0.1,99.19615384615385
6.0,750,balanced,default,4,15.0,2.5,3.5,2974.6,18.181929418790947,0.4,99.15333333333332
6.0,850,balanced,default,4,15.0,2.5,3.5,3382.8,18.892113635182497,0.4,99.49411764705883
6.0,950,balanced,default,4,15.0,2.5,3.5,3817.7,19.572036960340032,0.3,100.46578947368421
6.0,1050,balanced,default,4,15.0,2.5,3.5,4209.3,20.150150512387228,0.5,100.22142857142858
6.0,1150,balanced,default,4,15.0,2.5,3.5,4552.7,21.024750321729904,1.3,98.97173913043477
6.0,1250,balanced,default,4,15.0,2.5,3.5,4984.8,22.490259551079344,3,99.69600000000001
6.0,1350,balanced,default,4,15.0,2.5,3.5,5369.4,24.213280566054426,3.1,99.43333333333332
6.0,1450,balanced,default,4,15.0,2.5,3.5,5795.1,26.90435024065611,7.6,99.91551724137932
6.0,1550,balanced,default,4,15.0,2.5,3.5,4784.7,31.235792061886468,31.6,77.17258064516129
6.0,1650,balanced,default,4,15.0,2.5,3.5,1862.2,36.132638304770246,36.7,28.215151515151515
6.0,1750,balanced,default,4,15.0,2.5,3.5,848.3,38.34867280148747,37.7,12.118571428571428
6.0,1850,balanced,default,4,15.0,2.5,3.5,371.4,35.8422449160169,41.1,5.018918918918919
6.0,1950,balanced,default,4,15.0,2.5,3.5,284.3,34.78221124259705,35.8,3.644871794871795
8.0,50,balanced,default,2,20.67,2.58,3.92,200.8,14.289515875218262,0,100.4
8.0,150,balanced,default,2,20.67,2.58,3.92,595.7,14.646523399420715,1.1,99.28333333333335
8.0,250,balanced,default,2,20.67,2.58,3.92,1005.3,14.995590127742911,6.2,100.52999999999999
8.0,350,balanced,default,2,20.67,2.58,3.92,1394,14.987554459194648,15.7,99.57142857142857
8.0,450,balanced,default,2,20.67,2.58,3.92,1788.2,15.315457988571639,36.7,99.34444444444445
8.0,550,balanced,default,2,20.67,2.58,3.92,2200.3,15.679207912354194,56,100.01363636363638
8.0,650,balanced,default,2,20.67,2.58,3.92,2575.7,15.983384507390385,98.6,99.06538461538462
8.0,750,balanced,default,2,20.67,2.58,3.92,2994.3,16.428549131158498,151.8,99.81000000000002
8.0,850,balanced,default,2,20.67,2.58,3.92,3387.2,16.816156461130056,227.5,99.6235294117647
8.0,950,balanced,default,2,20.67,2.58,3.92,3782.7,17.34929548128488,310.6,99.54473684210527
8.0,1050,balanced,default,2,20.67,2.58,3.92,4184.6,17.97791524582075,415.3,99.63333333333334
8.0,1150,balanced,default,2,20.67,2.58,3.92,4608.8,18.92622179171628,555.5,100.19130434782608
8.0,1250,balanced,default,2,20.67,2.58,3.92,4990.7,19.84525647244426,712.9,99.814
8.0,1350,balanced,default,2,20.67,2.58,3.92,5400.2,21.37956559597324,897.3,100.0037037037037
8.0,1450,balanced,default,2,20.67,2.58,3.92,5518.2,23.4032108187669,1055.8,95.14137931034482
8.0,1550,balanced,default,2,20.67,2.58,3.92,5059.8,25.73661814467022,1110.4,81.60967741935484
8.0,1650,balanced,default,2,20.67,2.58,3.92,1892.4,30.574868156339907,514.5,28.672727272727272
8.0,1750,balanced,default,2,20.67,2.58,3.92,971.6,28.932594718292098,289.5,13.88
8.0,1850,balanced,default,2,20.67,2.58,3.92,412,29.832664638780116,144,5.5675675675675675
8.0,1950,balanced,default,2,20.67,2.58,3.92,215.5,29.497410668328058,89.3,2.7628205128205128
10.0,50,balanced,default,2,27.67,2.77,4.43,200.4,13.490603502230583,0,100.2
10.0,150,balanced,default,2,27.67,2.77,4.43,595.3,13.593356505869052,1,99.21666666666667
10.0,250,balanced,default,2,27.67,2.77,4.43,990.1,13.95581256395812,3.1,99.00999999999999
10.0,350,balanced,default,2,27.67,2.77,4.43,1400.2,14.032950076731925,6.9,100.01428571428572
10.0,450,balanced,default,2,27.67,2.77,4.43,1785.5,14.298820120819494,14.5,99.19444444444444
10.0,550,balanced,default,2,27.67,2.77,4.43,2164.3,14.635673149711637,26.2,98.37727272727274
10.0,650,balanced,default,2,27.67,2.77,4.43,2586.6,14.988154629412499,43.4,99.48461538461538
10.0,750,balanced,default,2,27.67,2.77,4.43,2995.4,15.324217835686019,66.6,99.84666666666668
10.0,850,balanced,default,2,27.67,2.77,4.43,3413.1,15.755243621820929,92.6,100.38529411764705
10.0,950,balanced,default,2,27.67,2.77,4.43,3794.9,16.335195456473514,135.4,99.8657894736842
10.0,1050,balanced,default,2,27.67,2.77,4.43,4210.9,16.970427267329846,178.8,100.25952380952381
10.0,1150,balanced,default,2,27.67,2.77,4.43,4566.7,17.6449107914867,221.1,99.27608695652174
10.0,1250,balanced,default,2,27.67,2.77,4.43,5019.8,18.985815178035047,293.5,100.396
10.0,1350,balanced,default,2,27.67,2.77,4.43,5417,20.63384825313839,366.8,100.31481481481481
